City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,atambua,-9.1061,124.8925,27.82,71,48,1.95,ID,1675825795
381,kadyy,57.787,43.1903,-11.73,94,96,3.32,RU,1675825796
382,gizo,-8.103,156.8419,29.2,73,100,5.58,SB,1675825618
383,ustye,59.6304,39.736,-7.7,92,94,4.04,RU,1675825797
384,huicheng,23.0385,116.2899,19.52,69,49,9.15,CN,1675825797
385,jacareacanga,-6.2222,-57.7528,22.81,98,96,0.49,BR,1675825797
386,nizhniy odes,63.6445,54.856,-8.79,95,100,4.64,RU,1675825798
387,ucluelet,48.9329,-125.5528,5.89,75,42,7.3,CA,1675825602
388,paracatu,-17.2222,-46.8747,21.33,84,57,0.8,BR,1675825798
389,urubicha,-15.3833,-62.95,21.94,97,100,0.77,BO,1675825799
390,sigayevo,56.4216,53.7757,-21.65,100,100,1.54,RU,1675825799
391,boyolangu,-8.1181,111.8935,25.16,85,100,2.69,ID,1675825799
392,luancheng,37.8792,114.6517,3.93,37,100,2.65,CN,1675825800
393,monrovia,6.3005,-10.7969,23.87,90,98,2.54,LR,1675825735
394,puerto del rosario,28.5004,-13.8627,12.86,76,0,3.6,ES,1675825800
395,parkes,-33.1333,148.1833,35.2,29,5,0.89,AU,1675825801
396,husavik,66.0449,-17.3389,-4.81,72,91,6.6,IS,1675825801
397,discovery bay,37.9085,-121.6002,11.97,73,100,1.73,US,1675825804
398,tres lagoas,-20.7511,-51.6783,21.52,84,100,0.96,BR,1675825807
399,ichinohe,40.2069,141.3017,0.85,63,99,1.36,JP,1675825809
400,lensk,60.7253,114.9278,-21.32,94,100,1.88,RU,1675825811
401,ahipara,-35.1667,173.1667,22.13,56,28,4.2,NZ,1675825813
402,petropavlovsk-kamchatskiy,53.0452,158.6483,-7.67,45,20,1.0,RU,1675825518
403,elin pelin,42.6667,23.6,-4.79,79,100,1.03,BG,1675825816
404,soure,-0.7167,-48.5233,25.25,87,100,3.03,BR,1675825818
405,vao,-22.6667,167.4833,26.82,70,34,6.09,NC,1675825819
406,geraldton,-28.7667,114.6,31.23,33,0,3.6,AU,1675825820
407,loa janan,-0.583,117.095,25.71,75,93,1.19,ID,1675825821
408,jinxiang,27.4327,120.6062,10.54,88,100,5.0,CN,1675825821
409,mackay,-21.15,149.2,29.27,80,98,9.71,AU,1675825822
410,laizhou,37.1717,119.9214,4.37,41,100,4.14,CN,1675825823
411,fjerritslev,57.0813,9.2664,3.92,94,100,5.52,DK,1675825824
412,kaitangata,-46.2817,169.8464,14.95,49,18,6.7,NZ,1675825582
413,russkaya polyana,49.417,31.9201,-7.86,88,6,3.81,UA,1675825825
414,chabahar,25.2919,60.643,21.78,66,7,1.31,IR,1675825827
415,lusambo,-4.9667,23.45,20.83,96,100,1.1,CD,1675825829
416,arari,-3.4536,-44.78,22.83,98,100,1.23,BR,1675825605
417,arraias,-12.9288,-46.9437,22.3,70,78,0.97,BR,1675825832
418,zhigansk,66.7697,123.3711,-43.58,97,100,2.93,RU,1675825703
419,mitsamiouli,-11.3847,43.2844,27.23,78,100,4.78,KM,1675825836
420,saint-pierre,-21.3393,55.4781,25.82,78,0,5.14,RE,1675825837
421,nkowakowa,-23.8878,30.2871,20.52,92,36,1.0,ZA,1675825837
422,manzhouli,49.6,117.4333,-15.75,88,28,2.48,CN,1675825838
423,teguldet,57.3064,88.1667,-12.91,95,100,2.9,RU,1675825838
424,port blair,11.6667,92.75,28.02,69,40,5.14,IN,1675825838
425,moose factory,51.2585,-80.6094,-17.04,85,73,4.64,CA,1675825813
426,chardara,41.2547,67.9692,3.02,74,100,3.5,KZ,1675825839
427,banjarmasin,-3.3244,114.591,30.08,61,77,1.48,ID,1675825839
428,alekseyevsk,57.8406,108.3492,-16.79,96,100,1.71,RU,1675825840
429,santo amaro da imperatriz,-27.6881,-48.7786,25.9,99,11,0.97,BR,1675825840
430,andros town,24.7,-77.7667,23.22,62,0,8.8,BS,1675825841
431,ipilan,8.8431,117.9033,28.04,72,100,4.99,PH,1675825841
432,peski,55.2163,38.7626,-14.21,98,76,2.61,RU,1675825842
433,yining,29.0361,114.5636,10.56,94,100,0.74,CN,1675825842
434,mandalgovi,45.7625,106.2708,-10.14,77,96,3.1,MN,1675825840
435,bilma,18.6853,12.9164,18.99,22,100,3.19,NE,1675825843
436,kerema,-7.9631,145.7785,26.44,83,100,0.04,PG,1675825843
437,asifabad,19.3667,79.2833,24.29,31,16,1.23,IN,1675825638
438,erzin,36.9559,36.2,0.98,58,97,2.03,TR,1675825844
439,coro,11.4045,-69.6734,23.7,88,22,6.63,VE,1675825844
440,effium,6.6292,8.0593,24.71,81,16,2.07,NG,1675825844
441,zhangye,38.9342,100.4517,-0.73,47,100,2.44,CN,1675825845
442,deputatskiy,69.3,139.9,-41.26,98,53,1.59,RU,1675825731
443,vadso,70.0744,29.7487,1.09,69,23,9.77,NO,1675825845
444,vila velha,-20.3297,-40.2925,24.97,90,40,1.03,BR,1675825826
445,tilichiki,60.4667,166.1,-28.13,90,65,4.37,RU,1675825846
446,avera,33.194,-82.5271,9.39,59,66,1.81,US,1675825738
447,ternate,0.8,127.4,24.93,90,100,4.64,ID,1675825846
448,emerald,-23.5333,148.1667,29.63,51,21,4.67,AU,1675825721
449,myra,45.4358,12.1348,0.03,65,0,3.8,IT,1675825847
450,stornoway,58.2093,-6.3865,7.98,79,100,17.49,GB,1675825848
451,mahibadhoo,3.7833,72.9667,26.99,66,50,2.43,MV,1675825848
452,sao miguel do araguaia,-13.275,-50.1628,22.76,89,66,1.01,BR,1675825800
453,port lincoln,-34.7333,135.8667,23.86,57,23,3.9,AU,1675825678
454,plettenberg bay,-34.0527,23.3716,19.16,85,100,2.89,ZA,1675825849
455,gobabis,-22.45,18.9667,17.88,87,99,1.78,NA,1675825849
456,nioro,13.35,-15.75,23.07,19,27,3.35,GM,1675825598
457,san quintin,30.4833,-115.95,14.71,52,0,0.98,MX,1675825850
458,idar,49.7167,7.3,-1.14,58,5,2.1,DE,1675825850
459,yongan,39.6957,113.6871,-0.01,41,31,1.38,CN,1675825851
460,rio gallegos,-51.6226,-69.2181,12.55,80,80,6.25,AR,1675825851
461,havoysund,70.9963,24.6622,2.13,62,25,11.85,NO,1675825851
462,saint paul,44.9444,-93.0933,-0.86,77,0,3.09,US,1675825841
463,nhulunbuy,-12.2333,136.7667,30.34,74,75,2.57,AU,1675825852
464,veraval,20.9,70.3667,21.98,54,7,3.55,IN,1675825648
465,port hardy,50.6996,-127.4199,4.31,80,86,3.72,CA,1675825727
466,sanwer,22.9833,75.8333,17.36,29,0,2.14,IN,1675825853
467,mayor pablo lagerenza,-19.9309,-60.7718,23.32,89,100,1.86,PY,1675825853
468,devli,25.75,75.3833,17.16,37,0,0.46,IN,1675825853
469,sorland,67.667,12.6934,5.92,83,100,22.72,NO,1675825854
470,clyde river,70.4692,-68.5914,-35.22,98,93,1.28,CA,1675825854
471,kalabo,-14.97,22.6814,17.66,98,100,2.11,ZM,1675825855
472,henties bay,-22.116,14.2845,17.96,90,43,2.46,NA,1675825855
473,diu,20.7141,70.9822,22.04,45,4,2.32,IN,1675825855
